GENESIS-Tabelle: 12612-0100
Lebendgeborene: Bundesländer, Jahre, Geschlecht;;;;;;;;;;;;;;
Statistik der Geburten;;;;;;;;;;;;;;
Lebendgeborene (Anzahl);;;;;;;;;;;;;;
;;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
Baden-Württemberg;männlich;45864;46578;45425;45863;47047;49271;50981;55194;55015;55695;55928;55755;57765
Baden-Württemberg;weiblich;43814;44117;43398;43614;44458;46361;49288;52293;52360;53224;53057;52269;55769
Baden-Württemberg;Insgesamt;89678;90695;88823;89477;91505;95632;100269;107487;107375;108919;108985;108024;113534
Bayern;männlich;53312;53769;53480;55138;55913;58695;60511;64503;64294;65272;65760;65932;68881
Bayern;weiblich;50398;51482;50188;51901;53649;55240;57717;61183;61893;62344;62467;62832;65440
Bayern;Insgesamt;103710;105251;103668;107039;109562;113935;118228;125686;126187;127616;128227;128764;134321
Berlin;männlich;16394;17090;17052;17898;18045;19021;19614;20995;20723;20612;20348;19900;20176
Berlin;weiblich;15710;16303;16023;16780;16993;18347;18416;20091;19437;19591;19155;18793;18992
Berlin;Insgesamt;32104;33393;33075;34678;35038;37368;38030;41086;40160;40203;39503;38693;39168
Brandenburg;männlich;9534;9831;9291;9418;9399;9957;9900;10747;10411;10265;9956;9811;9759
Brandenburg;weiblich;9003;9123;8988;9064;8956;9382;9212;10187;9926;9616;9373;9187;9270
Brandenburg;Insgesamt;18537;18954;18279;18482;18355;19339;19112;20934;20337;19881;19329;18998;19029
Bremen;männlich;2837;2874;2800;2874;2954;3244;3341;3683;3615;3655;3788;3540;3589
Bremen;weiblich;2644;2725;2588;2765;2795;2967;3168;3453;3385;3508;3361;3428;3382
Bremen;Insgesamt;5481;5599;5388;5639;5749;6211;6509;7136;7000;7163;7149;6968;6971
Hamburg;männlich;8657;8923;8763;9195;9226;9673;10116;10912;10901;10911;10674;10556;10760
Hamburg;weiblich;8122;8454;8362;8511;8911;9366;9652;10568;10232;10215;10266;9875;10258
Hamburg;Insgesamt;16779;17377;17125;17706;18137;19039;19768;21480;21133;21126;20940;20431;21018
Hessen;männlich;26083;26392;26366;26545;26626;27817;29308;30981;31240;31347;30947;30520;31854
Hessen;weiblich;24661;25350;25113;25062;25559;26814;27581;29750;29748;29665;29115;28869;29692
Hessen;Insgesamt;50744;51742;51479;51607;52185;54631;56889;60731;60988;61012;60062;59389;61546
Mecklenburg-Vorpommern;männlich;6558;6803;6494;6491;6427;6545;6761;6832;6669;6682;6494;6256;6036
Mecklenburg-Vorpommern;weiblich;6456;6534;6144;6224;6133;6285;6537;6610;6412;6350;6136;5805;5809
Mecklenburg-Vorpommern;Insgesamt;13014;13337;12638;12715;12560;12830;13298;13442;13081;13032;12630;12061;11845
Niedersachsen;männlich;32075;32469;31440;31562;32179;34277;34710;38471;37205;37922;37525;38075;39348
Niedersachsen;weiblich;30153;30661;29840;29916;30700;32129;32473;36744;35815;35730;35761;36044;37093
Niedersachsen;Insgesamt;62228;63130;61280;61478;62879;66406;67183;75215;73020;73652;73286;74119;76441
Nordrhein-Westfalen;männlich;74225;75642;73255;74607;75384;79549;82428;88627;88663;88953;87508;87540;90228
Nordrhein-Westfalen;weiblich;70804;71691;69842;71148;71033;75553;78040;84647;83316;84197;82883;82498;85158
Nordrhein-Westfalen;Insgesamt;145029;147333;143097;145755;146417;155102;160468;173274;171979;173150;170391;170038;175386
Rheinland-Pfalz;männlich;15868;16189;15923;16009;16371;17112;17912;19374;19419;19327;19020;19243;19796
Rheinland-Pfalz;weiblich;15013;15385;15158;15160;15618;16315;17034;18144;18024;18320;18153;18389;18851
Rheinland-Pfalz;Insgesamt;30881;31574;31081;31169;31989;33427;34946;37518;37443;37647;37173;37632;38647
Saarland;männlich;3527;3553;3678;3509;3552;3756;3957;4103;4266;4228;4111;4210;4227
Saarland;weiblich;3400;3513;3410;3369;3296;3572;3554;4112;4047;3921;3895;3945;4112
Saarland;Insgesamt;6927;7066;7088;6878;6848;7328;7511;8215;8313;8149;8006;8155;8339
Sachsen;männlich;17607;17920;17688;17750;18043;18344;18783;19417;18807;18440;17660;17129;16760
Sachsen;weiblich;16486;17171;16735;16936;16757;17591;17683;18523;18026;17450;16831;16254;15788
Sachsen;Insgesamt;34093;35091;34423;34686;34800;35935;36466;37940;36833;35890;34491;33383;32548
Sachsen-Anhalt;männlich;8853;8802;8658;8599;8542;8816;8841;9335;9183;8872;8529;8280;8306
Sachsen-Anhalt;weiblich;8291;8498;8179;8289;8255;8248;8574;8757;8654;8538;8089;7833;7718
Sachsen-Anhalt;Insgesamt;17144;17300;16837;16888;16797;17064;17415;18092;17837;17410;16618;16113;16024
Schleswig-Holstein;männlich;11306;11502;10868;11336;11170;11589;12097;12957;12845;12924;12663;12411;13051
Schleswig-Holstein;weiblich;10617;11076;10463;10669;10652;11204;11452;12463;12221;12312;11990;11974;12247
Schleswig-Holstein;Insgesamt;21923;22578;21331;22005;21822;22793;23549;25420;25066;25236;24653;24385;25298
Thüringen;männlich;8549;8900;8718;8835;8942;9169;9218;9454;9254;8947;8381;8227;7938
Thüringen;weiblich;8305;8627;8355;8507;8484;8718;8716;9021;8878;8490;8266;7764;7439
Thüringen;Insgesamt;16854;17527;17073;17342;17426;17887;17934;18475;18132;17437;16647;15991;15377
__________
© Statistisches Bundesamt (Destatis), 2023
Stand: 31.03.2024 / 17:43:51
